Age,Gender,Weight_in_kg,Height_in_cm,Sleeping_hours_avg,Balanced_Diet,Exercise_type,Weekly_exercise_Hours,BMI,Is_Fit
41,Female,71,161,10.0,Yes,Weekly,3.5,27.4,1
33,Female,62,165,6.9,Yes,Daily,7.8,22.8,1
43,Female,80,167,8.4,No,Weekly,2.9,28.7,0
53,Female,57,159,6.2,Yes,Daily,7.0,22.5,1
32,Male,50,177,7.0,No,None,0.0,16.0,0
32,Male,61,175,9.1,Yes,Daily,7.8,19.9,1
54,Female,44,163,6.2,Yes,Weekly,1.6,16.6,1
44,Female,56,157,9.2,Yes,Weekly,2.2,22.7,1
29,Female,63,162,7.8,No,Weekly,1.3,24.0,0
42,Female,84,165,6.3,Yes,Weekly,4.0,30.9,1
29,Female,75,172,7.8,Yes,None,0.0,25.4,0
29,Female,66,169,8.2,Yes,Daily,5.8,23.1,1
38,Female,86,177,7.7,Yes,Daily,8.5,27.5,1
18,Female,40,157,5.1,Yes,Weekly,3.2,16.2,0
18,Female,70,168,6.1,Yes,Daily,5.8,24.8,1
28,Female,72,163,6.7,No,None,0.0,27.1,1
23,Female,57,177,6.9,Yes,Daily,8.7,18.2,1
39,Male,82,169,7.7,Yes,Daily,8.6,28.7,0
24,Male,72,169,7.2,Yes,Weekly,3.5,25.2,1
18,Male,65,171,5.4,Yes,None,0.0,22.2,1
53,Female,57,147,7.5,Yes,Weekly,1.0,26.4,1
32,Male,97,171,7.7,Yes,Weekly,2.1,33.2,1
36,Male,71,170,7.7,Yes,Weekly,3.1,24.6,1
18,Female,66,163,8.3,Yes,Weekly,2.3,24.8,1
28,Male,69,177,8.0,No,None,0.0,22.0,1
36,Female,63,175,7.6,No,None,0.0,20.6,1
21,Male,90,182,6.9,No,None,0.0,27.2,1
40,Male,60,171,5.0,Yes,None,0.0,20.5,0
28,Female,59,156,7.5,Yes,Weekly,3.0,24.2,1
31,Male,70,178,7.2,Yes,Weekly,2.4,22.1,1
28,Male,71,166,7.3,Yes,Weekly,3.6,25.8,1
57,Female,78,175,5.5,No,Weekly,2.4,25.5,1
35,Female,81,170,5.7,Yes,None,0.0,28.0,0
22,Male,65,172,8.3,Yes,Weekly,2.1,22.0,1
45,Female,52,150,7.0,Yes,Weekly,2.7,23.1,1
20,Male,68,184,7.8,No,Weekly,2.8,20.1,0
38,Male,67,174,7.0,Yes,Daily,8.7,22.1,1
18,Female,75,171,7.0,Yes,Daily,9.7,25.6,1
19,Female,62,151,8.1,Yes,None,0.0,27.2,1
37,Female,51,158,6.4,Yes,None,0.0,20.4,0
44,Female,72,162,7.1,Yes,None,0.0,27.4,0
37,Female,77,162,6.4,Yes,Weekly,3.7,29.3,1
34,Female,65,159,6.5,Yes,None,0.0,25.7,0
31,Male,101,179,6.6,Yes,Daily,3.4,31.5,1
18,Female,50,155,7.3,Yes,Daily,5.5,20.8,0
26,Male,58,174,6.4,Yes,None,0.0,19.2,0
29,Male,52,176,8.5,Yes,Weekly,1.8,16.8,1
48,Male,96,179,5.9,No,None,0.0,30.0,0
39,Male,86,180,6.8,No,None,0.0,26.5,0
18,Female,56,154,6.5,Yes,Daily,6.8,23.6,1
39,Female,57,151,8.7,Yes,None,0.0,25.0,0
30,Female,57,171,7.2,Yes,Weekly,3.1,19.5,1
27,Male,106,177,8.2,No,None,0.0,33.8,0
42,Male,71,170,5.2,No,Weekly,1.4,24.6,1
47,Male,85,186,7.3,Yes,None,0.0,24.6,1
46,Male,83,176,8.1,No,Weekly,1.5,26.8,0
25,Female,75,170,7.1,Yes,Weekly,3.1,26.0,1
31,Female,65,162,8.3,Yes,None,0.0,24.8,1
39,Female,65,176,6.4,No,Weekly,1.8,21.0,0
47,Male,91,187,8.7,No,Daily,6.4,26.0,1
29,Female,81,160,9.8,No,Daily,6.9,31.6,1
33,Female,84,169,6.6,No,None,0.0,29.4,0
22,Female,85,167,6.5,Yes,Weekly,3.9,30.5,1
21,Female,65,172,8.7,No,Weekly,3.5,22.0,1
45,Male,57,168,8.9,Yes,Daily,4.6,20.2,1
51,Male,76,180,6.4,No,None,0.0,23.5,0
34,Male,80,182,6.5,Yes,Weekly,2.2,24.2,1
47,Female,64,150,6.7,No,Daily,9.3,28.4,1
39,Male,48,167,5.4,Yes,Weekly,1.7,17.2,0
27,Male,78,161,5.9,No,Daily,4.9,30.1,0
39,Male,70,173,5.8,Yes,Daily,6.0,23.4,1
53,Male,72,180,6.1,No,Weekly,1.3,22.2,0
35,Female,60,173,7.0,Yes,Weekly,2.4,20.0,1
54,Female,46,163,7.3,Yes,Weekly,1.5,17.3,0
18,Male,94,186,8.9,Yes,Daily,9.0,27.2,1
45,Male,66,165,5.8,Yes,None,0.0,24.2,0
36,Male,50,163,8.2,No,None,0.0,18.8,0
31,Male,58,175,6.7,Yes,None,0.0,18.9,0
36,Male,72,178,6.9,No,Weekly,2.8,22.7,0
18,Male,94,175,7.8,Yes,Weekly,1.7,30.7,1
32,Male,60,161,5.7,Yes,Weekly,2.8,23.1,1
39,Female,47,161,7.5,No,Weekly,4.0,18.1,0
53,Female,54,153,7.2,No,None,0.0,23.1,0
29,Male,74,180,7.6,Yes,Daily,5.8,22.8,1
25,Male,42,178,7.3,Yes,Weekly,3.2,13.3,1
29,Female,57,155,9.9,No,Weekly,4.0,23.7,1
46,Female,58,158,6.2,Yes,None,0.0,23.2,0
39,Female,64,155,6.4,No,None,0.0,26.6,0
29,Female,82,162,6.3,No,Daily,7.0,31.2,1
41,Male,94,182,6.3,No,None,0.0,28.4,0
36,Male,65,168,6.2,Yes,None,0.0,23.0,0
47,Female,54,166,8.4,No,None,0.0,19.6,0
27,Male,100,171,8.7,Yes,Daily,4.3,34.2,1
31,Female,59,156,6.3,Yes,Weekly,1.7,24.2,1
30,Female,62,161,6.0,Yes,Weekly,1.2,23.9,1
18,Female,57,155,7.6,Yes,Weekly,1.2,23.7,1
39,Male,72,171,6.3,No,Daily,4.6,24.6,1
38,Female,56,154,7.8,No,Weekly,3.6,23.6,0
35,Male,78,189,7.2,No,Weekly,2.6,21.8,0
32,Female,57,162,5.2,Yes,Weekly,2.0,21.7,1
18,Female,59,157,8.9,Yes,Daily,10.0,23.9,1
30,Male,68,176,9.2,Yes,Weekly,2.7,22.0,1
31,Female,55,161,6.3,No,Daily,6.3,21.2,1
25,Female,63,160,6.5,Yes,None,0.0,24.6,1
33,Male,74,179,7.3,No,Weekly,3.9,23.1,1
40,Male,97,180,7.4,Yes,None,0.0,29.9,0
58,Male,40,171,7.8,Yes,Weekly,1.6,13.7,0
37,Male,83,171,9.4,No,Weekly,1.3,28.4,1
38,Male,87,173,6.8,Yes,Weekly,3.3,29.1,1
34,Female,40,146,6.0,No,None,0.0,18.8,0
18,Male,61,164,5.3,No,Weekly,3.4,22.7,1
35,Male,77,185,6.1,Yes,Daily,4.6,22.5,1
36,Female,56,174,7.0,Yes,Weekly,1.5,18.5,1
65,Male,63,173,9.2,Yes,Daily,9.5,21.0,1
33,Female,54,166,6.4,No,Weekly,3.5,19.6,1
39,Male,97,177,7.3,Yes,Weekly,2.9,31.0,1
35,Male,108,197,7.0,No,None,0.0,27.8,0
21,Female,84,170,8.4,No,Daily,3.9,29.1,1
49,Female,70,161,10.0,No,Daily,8.5,27.0,1
44,Female,47,155,6.4,Yes,Weekly,1.1,19.6,1
44,Female,50,151,6.4,No,None,0.0,21.9,1
24,Female,69,163,8.3,No,None,0.0,26.0,0
52,Male,55,170,7.8,Yes,Weekly,1.3,19.0,1
18,Male,73,165,9.2,Yes,Daily,6.9,26.8,0
42,Female,57,157,7.7,No,None,0.0,23.1,0
61,Female,53,154,6.6,Yes,Weekly,2.3,22.3,1
23,Female,81,174,7.7,No,Weekly,2.5,26.8,1
28,Male,84,181,8.3,Yes,Daily,6.5,25.6,1
36,Male,69,175,8.0,Yes,Daily,9.0,22.5,1
29,Female,85,172,7.6,No,None,0.0,28.7,0
18,Male,61,176,8.3,Yes,Daily,3.8,19.7,1
36,Female,64,156,8.4,Yes,Daily,5.7,26.3,1
22,Female,79,173,8.7,Yes,Daily,9.1,26.4,1
41,Male,73,179,7.8,Yes,Daily,8.5,22.8,1
24,Female,61,155,6.8,Yes,Weekly,1.2,25.4,1
54,Female,49,161,7.2,Yes,Weekly,1.5,18.9,1
26,Male,79,169,8.4,No,Weekly,2.0,27.7,1
31,Female,54,152,6.0,Yes,Daily,7.5,23.4,1
45,Female,62,168,7.4,No,Daily,3.9,22.0,1
20,Female,86,175,6.5,Yes,Daily,9.5,28.1,1
38,Male,58,165,7.0,No,Weekly,2.8,21.3,1
